Service Description,Service Classification
"Tropo makes it simple to build phone, SMS and Instant messaging applications. You use the web technologies you already know and Tropo's powerful cloud API to bring real-time communications to your apps. If you can create a web site, you can make and receive phone calls, use voice recognition, interact over SMS, IM, or Twitter. You can even create conference calls and transcribe calls. There's no need to learn new languages, wrestle with VoIP software, or learn about telephony. Host your code with us, or use your existing web server in the language of your choice. Coverage: usa, canada, australia, austria, belgium, brazil, bulgaria, croatia, Cyprus, CzechRepublic, Denmark, Estonia, Finland, France, Germany, Greece, HongKong, Hungary, Ireland, Israel, Italy, Japan, Latvia, Lithuania, Luxembourg, Malta, Mexico, Netherlands, NewZealand, Norway, Panama, Peru, Poland, Portugal, Romania, Slovakia, Slovenia, Spain, Sweden, Switzerland, and the uk.",Telephony
"No public API documentation is available for this API, but access to documentation is availabnle when you register to the affiliate program (free). Contact affiliate@hotelscombined.com to apply for access (approval required). World best hotel metasearch API. Search over 30 booking and hotel chain sites at once with one API. Earn commissions on every quality referral.",Travel
"Traffic Web Services from Yahoo! enable you to get traffic alert information from a given location. Use the Traffic REST API to customize your request with many parameters including indicating locations based on city state, zip code, or a combination of any of these things, latitude-longitude, whether to include a map image, or a search radius in miles. Traffic Web Services are also available through a [[http://developer.yahoo.net/traffic/rss/V1/index.html dynamic RSS feed]].",Transportation
"The Mailchimp API syncs campaign stats and subscribers information between MailChimp and a database. It helps to download a list of unsubscribes to clean inhouse lists, build client portals, and pull campaign stats from MailChimp. Available in REST architecture with JSON and XML formats, in addition to Serialized PHP and XML-RPC.",Email
"SendGrid's cloud-based email helps keep emails out of spam folders, provides a cloud service that scales with email demands, and provides email analytics to track opens and clicks. SendGrid has a Web API that allows customers to retrieve information about their account such as statistics, bounces, spam reports, unsubscribes, and other information. In addition, the Web API allows customers to create sub-accounts and control the settings of these accounts for an OEM setup. With the SendGrid API, developers can:Get real-time web hooks for events such as bounces, clicks, and unsubscribesSend multiple emails and customize pluginAccess parsed incoming emails with attachmentWrite plugins to alter emails or deliver to other mediumManage subscriptions for resellers and subusers",Email
"Use the Google Book Search Data API to get and modify Book Search content via feeds. Submit full-text searches for books and get book information, ratings, and reviews. Optionally get individual users' library collections and public reviews. Submit authenticated requests to create and modify library collections, ratings, labels, reviews, and more.",Reference
Google Gmail now supports the standard IMAP and SMTP protocols for accessing and sending e-mail messages. The Gmail IMAP and SMTP servers have been extended to support authorization via the industry-standard OAuth protocol. This allows third party applications to access a user's email account with their permission.,Email
The Alexa Web Information Service makes Alexa's repository of information about the traffic and structure of the web available to developers.,Search
"Hoiio is a global communication service seeking to allow people around the world to communicate via telephone or SMS by routing through Hoiio service. The Hoiio Voice API provides powerful APIs to make calls and handle voice responses (IVR). All these services are built on top of Hoiio's cloud infrastructure, so your app automatically scales as needed. Hoiio also provides virtual numbers for receiving inbound calls and free TTS services. No hardware is needed from the developer. It is a pay-per-use model, with zero setup fee.",Telephony
"The Forvo API allows users to integrate the functionality of Forvo into their websites or applications. Forvo is the largest pronunciation guide in the world, the place where you will find millions of words pronounced in their original languages. Ask for that word or name, and another user will pronounce it for you. You can also help others by recording your pronunciations in your own language. Currently the API allows users to read or listen to word pronounciations with future functionality to include search, languages and standard pronounciations. Possible uses include adding pronunciations for your dictionary or creating a better Google Translate with real human pronunciations. This RESTful API returns responses in either XML, JSON or JS-tag format.",Reference
"The Google OpenID API lets third-party web sites and applications let visitors sign in using their Google user accounts. The OpenID standard allows users to nor have to set up separate login accounts for different web sites, and conversely, frees web site developers from the task of managing login information and security measures. OpenID achieves this goal by providing a framework in which users can establish an account with an OpenID provider, such as Google, and use that account to sign into any web site that accepts OpenIDs. This page describes how to enable a web site or application to accept a Google user account for federated login.",Security
"CrunchBase is a product of TechCrunch and is a directory of technology companies, people, and investment profiles especially for companies involved in Web 2.0. The read-only API allows for retrieving all information that is available from the database, with some search criteria, and it uses JSON for the output formats. It is not necessary to have a developer account or an API key, and there are no current restrictions on the number of requests.",Reference
The Related Suggestion service provides suggestions for queries related to the submitted query.,Search
"Yahoo! Travel is also launching API access to trip planner data through a REST-like interface. With the Yahoo! Travel Trip Plan APIs you can search for trip plans by Yahoo! ID or by search query, or retrieve a specific trip plan by ID. The Yahoo! Travel Trip Plan APIs have been designed to operate just like the Yahoo! Search APIs, so if you've already written code for Yahoo! Search you can start using Travel almost immediately with only minor modifications. And just like Yahoo! Search, the Yahoo! Travel APIs support both XML and JSON output.",Travel
"I2space technologies is a travel portal platform that provides the i2space API which allows users to facilitate Bus Booking. The site offers online reservation software for Bus ticket booking with payment gateway integration, also through API inventory can be shared to other online seller. The site also offers ticketing software for Indian, one of the biggest travel booking provider. The API returns XML, and an account is required with service.",Travel
"eBay's Finding API provides programmatic access to search capabilities on the eBay platform. It lets users search and browse for items listed on eBay, and provides metadata to refine searches and customize the searching process. Developers can use this API to build search and browse capabilities into bidding and buying applications. The Finding API exposes a variety of search capabilities, including searching based on keyword, associated items, listing details, categories (domains), item characteristics (aspects), and domain and aspect metadata. The API can also provide keyword recommendations to help refine search results. This API can be used via SOAP, HTTP, and REST. It can also be integrated with JavaScript and PHP using eBay's API tutorial kits.",Search
"The Yahoo Mail Web Service API is a full-featured interface to Yahoo! Mail. With it, you can build applications that display message summary information, parse message contents, manage folders, and even compose and send messages. The Web Service uses OAuth for authentication and access to mailbox contents.",Email
"Security Assertion Markup Language (SAML) is an XML standard that allows secure web domains to exchange user authentication and authorization data. Using SAML, an online service provider can contact a separate online identity provider to authenticate users who are trying to access secure content. Google Apps offers a SAML-based Single Sign-On (SSO) service that provides partner companies with full control over the authorization and authentication of hosted user accounts that can access web-based applications like Gmail or Google Calendar. Using the SAML model, Google acts as the service provider and provides services such as Gmail and Partner Start Pages (PSP). Google partners act as identity providers and control usernames, passwords and other information used to identify, authenticate and authorize users for web applications that Google hosts.",Security
"Vast is a web search service that crawls the entire web and structure the data it finds. Initial verticals include Cars, Jobs, Profiles.",Search
"Expedia is a world leader in travel and technology, and the EAN Developer Hub gives developers free access to a set of APIs that power websites, mobile apps, and much more. The EAN APIs can be used to book hotels, flights and cars. The APIs use both REST and SOAP protocol and responses are formatted in XML.",Travel
"the Jaduka API gives developers direct access to, and all the inherent benefits of, the world's highest-quality, ubiquitous public switched telephone network (PSTN). Based on common Web standards, the API facilitates quick and easy development of virtually limitless voice-enabled business applications that can be used with any existing telephone wired, VoIP or wireless.",Telephony
"Developers of installed applications have the option of using a programmatic login method to access Google services protected by user login. An installed application is installed on a device, such as a desktop computer or a cell phone, as opposed to a web application. With programmatic login implemented, an application's user can log into their Google account from inside the application. The application then contacts Google with the login data and requests access to a specified Google service, such as Calendar. Once access is authorized, the user can create, read, update, or delete data as needed using the application interface. Programmatic login and authentication is a big step up from the low-tech approach, which is to simply include the user's login name and password in every request to Google. With programmatic login, Google supplies the application with a token that can referenced in all requests instead of login data.",Security
"Revver is an online media syndication network whose mission is to support independent media artists by creating a viral video network that connects makers, sharers, and sponsors in a free and open marketplace that rewards. When you upload a video to Revver, it attaches an ad and its unique tracking technology to Revverize the video. Any ad revenue generated by the video is split 50/50 between the creator and Revver.Revver API allows you to build your own video sharing sites. It is well suited for applications that use heavy javascript or AJAX, and/or Flash, but not appropriate for applications that need to update or add content to Revver. For those functions, you will need to use XML-RPC for security reasons. Programmatically view the Revver library. Distribute Revver videos or push users to the Revver videos, and then monetize this for yourself. Syndication and social aspects available.",Video
"Janrain Engage (formerly RPX) is a service that allows customers to add social networking logins to their websites and applications, using a single login for their website. The Janrain Engage API allows developers to access and integrate Janrain Engage functionality into other sites and applications. Some example API methods include retrieving user data, managing account information, and accessing analytic data.",Security
"Twitter search API with optional restriction on language, from, to, and hashtags. Use it to find tweets, people and trends. Note that Summize was acquired by Twitter and is now their official search engine and search API.",Search
"Veoh has both Veoh.com and VeohTV. Veoh.com is for video hosting, aggregating, and sharing (700,000+ uploaders, independent producers, major networks). VeohTV is an app where you play videos or download high-res video, and VeohTV has a TV-like guide with search and organization features.",Video
"ESPN.com is an online platform for multiple sports news, statistics, team information, and player information. ESPN.com offers sports scores, standings, and other statistics for a variety of sports. The ESPN.com API allows developers to access and integrate the data of ESPN.com with other applications and to create new applications. Some example API methods include retrieving sports information, team information, and league information. Interested developers should sign up here for an API key: http://developer.espn.com/member/register.",Sports
"Edmunds has been a publisher of new and used automotive pricing guides to assist automobile buyers since 1966. In addition to pricing information, Edmunds.com includes car reviews; vehicle maintenance guidance and resources; tips and advice on buying/selling vehicles, insurance, fuel economy, and more; and user forums. The Edmunds.com Vehicle API allows developers access to year/make/model information, as well as style, True Market Value, and Vehicle Incentives offered by auto manufacturers. The API is RESTful and returns responses in JSON/JSONP.",Reference
"Dailymotion is one of the biggest video platforms in the world, and as such, we offer video storage and viewing capability to our users. We would like to make it easy for you developers to integrate video creation and delivery across many platforms (desktop, mobile, consoles, set-top boxes and more). The Dailymotion API allows developers to access and integrate Dailymotion's functionality and content. Some example API methods include uploading, sharing, and playing content, view, create, and edit data about video content, and embedding the Dailymotion player into other sites.",Video
"Begun as a research project from the Royal Melbourne Institute of Technology and the University of Technology Dresden, WebKnox is an ontology-driven fact extraction engine built to provide direct, fast, and complete answers to questions on any topic a user can think of. To answer a question WebKnox uses external services that might have previously provided an answer or computes an answer using its knowledge base. If those options fail, WebKnox tries to find an answer on the fly.WebKnox hosts a suite of REST APIs delivering a range of web services. The WebKnox Keywords API provides developer access to keyword data such as how often they are searched and how many competing pages are on Google. The API can also return a list of related keywords.",Search
Thrutu is an application that lets users access real-time features while making calls on their Android phones. These features can be used to share information and media while on a call. The Thrutu API enables developers to build new features or integrate existing applications with its platform. The API uses JavaScript protocol and is currently in Beta.,Telephony
"Genability provides tools to gain insight into electricity usage. The Genability API is a RESTful interface to detailed, accurate and up-to-date tariff and energy pricing data. Search by zipcode and other criteria. The API provides a fully functional tariff calculator that uses actual reading data to compute a tariff bill. Reading data can be stored within the APIs for quicker calculations. Also, the API offers a way to find out current and look ahead pricing for a zipcode so you can intelligently determine when the cost of electricity will go up or down. Although the API is not free, it offers low entry level rates. Rates are primarily based on the number of unique tariffs accessed per month. The API can respond with JSON or JSONP formats. There are helpful PHP, Rails and Java libraries on Github https://github.com/Genability Genability is a software company providing energy suppliers and distributors with technology to market, sell and increase value to customers. We help solar, energy procurement, connected home, efficiency and other businesses understand their customers' energy costs, determine what their products are saving, and turn insight into opportunity. We have the industry's only accurate and comprehensive cloud-based retail tariff database and rate engine. The Company is a recipient of the Department of Energy SunShot Initiative and based in San Francisco.",Reference
"The Active.com API provides read-only access to data produced by systems within The Active Network. This includes things like running events, tennis tournaments, triathlons, high school sports ranking data, and campground availability data for 97% of the US and Canada's national and state/provincial parks. Assets include events, races, tournaments, facilities, classes and leagues. Several sites, including livestrong.com and ESPN, are active consumers of the API. All of the Active.com APIs are read-only and return public data. As a result, no security measures (SSL, Oauth) are required. The API uses RESTful protocol and responses are formatted in XML.",Sports
"Internet Video Archive's Entertainment Express API connects you to our movie, TV, and Video Game metadata services as well as our large collection of promotional video assets and images. Our video assets include: movie trailers, TV series, season and episode trailers, video game trailers, music videos and much, much more! Our data collection is expanding daily and our API is designed to easily allow you to aggregate our data to your application or web site.",Video
"With MyVox, you can voice-enable any application you can imagine. MyVox turns any phone into a microphone hooked up to your application.",Telephony
"True Knowledge is a new class of Internet search technology aimed at improving the experience of finding known facts on the Web. The True Knowledge Answer Engine gives consumers instant answers to complex questions. Request information on any topic and get back results in a processable form. Early areas of strength include geographic knowledge, local time, and geolocation. Natural language questions can also be processed. View demos at their website.",Search
The Aonaware Dictionary API provides access to dictionary definitions pulled from multiple databases. This API accesses the resources of dict.org to generate results. It uses SOAP protocol and responses are formatted in XML.,Reference
"The personalization API provides a simple interface to rich data about consumers. Developers use the data provided by the API to create more personalized experiences for consumers. Query with an email address and get Age, Gender, and Location for free, unlimited access. Use this information to recommend better content, deliver more relevant email messages, and understand your best customers through analytics.",Email
"Giphy is an animated search engine for discovering and sharing GIF images. Giphy exposes its search capabilities through a RESTlike API. The API is comprised of nine JSON endpoints, allowing developers to search for GIFs using a variety of filters and search parameters.",Search
"RunKeeper is an online health & fitness tracking service built on top of the Health Graph. The Health Graph allows users to keep track of their workouts, nutrition information, sleep and body measurements data, blood glucose levels, and much more in one place. Users can authorize any of the large and growing number of health and fitness partner apps and devices to read and write data to the Health Graph on their behalf. This allows users to see how every aspect of their health correlates to the others. RunKeeper's Health Graph API provides developers access to all of this Health Graph information including things such as user profiles, fitness activities, nutrition information, and weight information.",Sports
"Amazon Simple Email Service, or SES, provides cloud-based email as a service. Amazon SES simplifies sending emails from applications being hosted on services such as Amazon EC2. Because email services are often used by spammers, Amazon SES provides each user with a quota. EC2 users can send 2,000 emails per day for free. The service allows developers to send either raw email or formatted email using Amazon's SMTP servers. Any spam complaints or other issues bubble back up to the developer. Similar to other Amazon Web Services, Amazon SES charges per gigabyte for transfer in and out of its systems.",Email
"KooKoo acts as an interface between your applications and telephony applications, allowing users to setup an extra delivery channel for their web applications. It can perform telephony applications like placing a call, receiving calls, send sms,gathering user input etc. It acts as another web page in an application which is accessible from the phone rather than the browser. With KooKoo users can build telecom applications, IVRs (Interactive Voice Response), office PBX and outbound campaigns. The API lets users take advantage of their existing web development skills to build telephony apps. The API uses RESTful protocol and responses are formatted in XML.",Telephony
"Developers can use the JournalTOCs API to embed the search functionality within their web applications to make the most of the journal TOC RSS feeds metadata. Anyone with access to RSS Readers can also use the JournalTOCs API. JournalTOCs is a JISC Rapid Innovation project which is developing a freely available API for monitoring current journal issues to identify published papers for Institutional Repositories. The API gives users access to the entire JournalTOC database of articles, journals and publishers, which is being updated and continually collected from the publishers' own TOC RSS feeds, as soon as they are published on the web. The search results will come in RSS format, which can then be parsed and used in an application, RSS reader or the search results could be included in a web page. The API consists of 4 calls: journals, articles, user ID and institution ID.",Search
"SEOmoz provides companies around the world with consulting, Internet marketing and search engine optimization services. Our goal is to provide a high level of service and education to businesses, individuals, non-profits and government organizations so they can best leverage the unique reach of the Internet to increase visibility and achieve success. The SEOmoz Site Intelligence Service API provides an interface to working with SEOmoz tools and data, allowing developers to retrieve information programmatically and make use of such data in their own applications.",Search
"Rezgo is tour operator software designed for companies who run tours, activities, and attractions. Many of the companies using Rezgo for their on-line bookings include: whale watching tours, river rafting, kayaking tours, bicycle tours, city guided tours, bus tours, boat tours, helicopter tours, special events, and more. Rezgo helps tour operators organize their tours and gives them all the tools they need to accept bookings on-line. As a tour operator system, Rezgo helps tour operators increase their on-line bookings while keeping them organized and reducing their administrative burden and costs. Rezgo supports inventory management, real-time availability, rich media (like photos & videos), pricing & availability rules, on-line vouchering, and even 2D mobile barcode scanning.",Travel
The TripIt API allows users to access the TripIt's information about travel and itineraries. TripIt facilitates integration and organization of travel information from many different sources. The TripIt API allows third parties to easily interface with this platform.,Travel
"The Google Book Search Book Viewability API enables developers to: Link to Books in Google Book Search using ISBNs, LCCNs, and OCLC numbers; Know whether Google Book Search has a specific title and what the viewability of that title is; Generate links to a thumbnail of the cover of a book; Generate links to an informational page about a book; Generate links to a preview of a book.",Search
"The Google Apps Email Migration API allows administrators and users of Google Apps to migrate mail from legacy email systems into their domains hosted Gmail accounts. Note: This API is only available to Google Apps Premier, Education, and Partner Edition domains, and cannot be used for migration into Google Apps Standard Edition email or Gmail accounts.",Email
"Google Accounts authentication for web-based applications allows the application to access a Google service protected by a user's Google account. To maintain a high level of security, the Authentication Proxy interface, AuthSub, enables the application to get an authentication token without ever handling the user's account login information. Using the proxy, the user of the web application logs into their account through a Google-supplied login page and consents to grant limited access to the web application.",Security
"Using the Uber API, developers can integrate the power of Uber into 3rd party applications. Calls to the API can be made to request information on available car types, driver location expressed in geo-coordinates, time estimates, estimated prices (including currency conversion when applicable), as well as user account history and activity. The Uber API documentation describes deep linking techniques to programmatically launch the native app from iOS or Android, or the Uber mobile site from mobile web. The API comes with a detailed style guide and asset package for implementing licensed brandings. The Uber API Affiliate program grants cash and issues Uber credits for new user onboarding through a 3rd party app.",Transportation
"RubyGems.org is the Ruby community's gem hosting service. Developers can publish their gems and install them. The API lets users interact with the site and find out more information about available gems. Functionality includes querying or creating gems to be hosted, querying download stats, managing gem owners and notifications and more. The API uses RESTful calls and responses are formatted in XML, JSON and YAML.",Reference
"Spy Dialer lets users identify missed calls and mystery numbers by going directly to any U.S. based cell phone's outgoing voicemail to hear whose cell phone it is. With the Spy Dialer API, users can integrate the service into their web site or application. The Spy Dialer API uses SOAP messaging with HTTP POST or GET methods for accepting requests and returns results via XML. Full documentation is available with registration.",Telephony
"The iFixit API provides programmatic access to iFixit enabling anyone to write applications and utilities on top of the repair database. iFixit is the world's largest collection of free photographic repair manuals. The API provides access to iFixit's repair manuals (step-by-step guides and Device namespace pages) and device area hierarchy. It does not (yet) provide access to the parts or Answers Q&A database. The API uses RESTful protocol and responses are formatted in JSON, JSONP and XML. Underlying XML schema returned in via API is IEEE 1874 (oManualhttp://www.omanual.org): learn more about this format at oManual.org. iFixit.com is powered by the Dozuki platform (http://www.dozuki.com), a documentation engine for visual instructions, which features a full-blown API in each implementation.",Reference
"The Biblia.com API provides Web, mobile, and desktop applications with access to Bible text through web services. Biblia.com is an interdenominational project allowing for online bible study. Specifically, there are services that get information about the available Bibles (Find, Image), download the text of those Bibles (Content), and search those Bibles (Search). Additional services support validating Bible references (Parse), comparing Bible references (Compare), and finding Bible references in text and HTML (Scan, Tag). The service uses a RESTful interface and responses are formatted in XML, JSON, JSONP, text or HTML.",Reference
TourCMS provides a full website and reservation management system for small and medium sized tour operators. These API calls are to access your live product data in realtime. They can be used by TourCMS Marketplace partners to access content from multiple TourCMS accounts. These APIs can also be used by individual account owners to access their own data.,Travel
"Compare 70,000 hotels from 15 hotel websites including Hotels.com, HotelClub and ebookers. One search on sletoH.com shows hotel prices from across the web. Use our XML API to get real-time hotel pricing data and build your own hotel comparison application.",Travel
"zanox Web Services enables developers to access zanox infrastructure and services. With the API, you can enhance your advertising solutions and monetize your applications. The zanox company focuses on search engine marketing, e-mail marketing, international campaigns, and portals/content sites. The zanox vision relates to monetizing the Internet with a business alliance where everyone is a winner.",Advertising
"The New York Times Movie Review API gives you access to movie reviews by the New York Times critics. The API gives access to over 22,000 New York Times movie reviews from today back to 1924. Using the Movie Reviews API you can reviews, NYT Critics' Picks and you can search movie reviews by keyword.",Video
"Use the Viddler API to view and update Viddler's data. You can upload a video, create a Viddler account, get the public sections of a user profile, update user profile data, generate a token for an embedded recorder, get video details, update video details, set a permalink on videos you own, display videos uploaded by a certain user, get videos with a certain tag, get the currently featured videos, add a comment to a video, delete a comment, and delete a video.",Video
"The Yahoo! Search Marketing API provides programmatic access to the same functionality exposed visually in the web-based interface. You can create and manage campaigns, pull reports, set bids and more. All of these capabilities are exposed via a collection of SOAP-based Web Services that are easy to use and thoroughly documented.",Advertising
"Naver is the most popular search portal in South Korea. It also provides a news service, an e-mail service, an academic thesis search service, and a children's portal.",Search
"Advertiser Web Services enables advertisers to develop software which interacts directly with Yahoo! Search Marketing campaign management systems. Advertisers can use XML based transactions to perform many of the features that are available through our account access user interface.be adapted to efficiently manage Yahoo! Search Marketing accounts, listings, bids, and reports.",Advertising
"The Gigablast API lets you add web search capabilities to your website, customized search product, or meta search engine.",Search
"The ThreatCrowd REST API allows developers to access and integrate the functionality of ThreatCrowd with other applications. Some example API methods include identifying related infrastructure and malware, searching for domains, IP addresses, email addresses, and more. ThreatCrowd provides a search engine and result for online malware and security threats.",Security
"Webhose.io provides on-demand access to structured web data that anyone can consume. We empower you to build, launch, and scale big data operationswhether you ire a budding entrepreneur working out of the garage, a researcher in the science lab, or an executive at the helm of a Fortune 500 company. Start for free by sampling the Webhose.io API, and then consume the same web data that powers global media analytics and research companies. We structure, store, and index millions of web pages per day in vertical data pools (e.g. news, blogs, and online discussions). Just define the data you need and scale up as you grow. This way, you can focus on what you do best instead of wasting time and money crawling, scraping, and extracting web data yourself.",Search
"Ipinfo.io is a free IP information web service providing geolocation, hostname, organization and other data types. The ipinfo.io API returns a JSON response containing data fields describing the specified IP. The API supports JSONP callbacks and can provide additional information through a paid service, such as proxy detection, scraping prevention, and improved geolocation accuracy.",Reference
"Impossible Software is a video advertising solutions provider. Their products enable advertisers and content producers to customize videos on demand, in real time, tens of thousands of times per hour. With web-based tools, clients can create video templates, including motion tracking and formatting, and then push them onto production delivery infrastructure. Impossible Software offers three levels of API: the real-time rendering API, a RESTful media management API, and a JSON-formatted video scripting language.",Video
"Mandrill is an email application and email template service hosted by MailChimp. The Mandrill API allows developers to access and integrate the functionality of Mandrill with other applications and to create new applications. Some example API methods include managing account and user information, retrieving and sending messages, and sending templates.",Email
"blekko is a search engine that sorts out spam, content farms and malware by crawling a subset of about 3 billion pages. To improve search results, blekko uses a tool called a slashtag that organizes websites into specific topics. A slashtag allows for the creation of a custom search engine. It is used to filter search results and helps users to search only high quality sites, without spam or content farms. Slashtags contain a list of websites so that when users search with a slashtag, they only search those sites. The blekko API lets developers integrate their application or web sites in order to run searches on blekko, and to manipulate slashtags. The API also provides access to SEO information. Developers should contact apiauth@blekko.com for documentation.",Search
"One API... A world of travel content. Travelport Universal API is the global distribution system (GDS) industry is first truly universal API, giving you access to a world of content and functionality through a single API connection. It is designed to run alongside your existing API solutions for an efficient and low-risk implementation. Providing you access to worldwide low cost carriers, high speed rail providers and multi-source content via a single API can help you clear the clutter of multiple programming interfaces, while saving valuable time and money.",Travel
