Service Classification,samples,avg_text_length,min_text_length,max_text_length,median_text_length,avg_word_count,min_word_count,max_word_count,median_word_count,Top_10_Words
News Services,200,181.67,143,287,177.0,21.42,16,39,21.0,"and(347), news(313), api(138), for(95), with(94), content(75), provides(71), journalism(65), manages(52), media(49)"
Office,200,442.93,138,1112,445.0,71.8,24,165,74.0,"and(623), the(521), api(369), allows(215), users(204), data(203), can(199), that(195), service(195), applications(193)"
Other,216,181.16,146,235,182.0,19.08,18,25,19.0,"and(242), api(214), provides(207), handles(195), for(147), functionality(143), offers(137), solutions(135), requirements(128), delivers(127)"
Payments,300,458.19,153,1263,421.0,67.42,24,191,64.0,"and(1036), the(878), api(494), payment(429), for(339), payments(284), with(277), allows(196), service(167), that(167)"
Photos,250,418.48,60,1041,422.5,67.21,9,157,68.5,"the(819), and(707), api(460), photos(242), for(225), can(215), users(210), their(204), photo(199), images(193)"
Project Management,250,455.93,120,785,470.0,70.48,20,124,74.0,"and(870), the(629), api(436), management(295), project(282), with(250), users(237), allows(237), projects(211), for(199)"
Real Estate,200,438.76,77,1053,442.5,69.83,11,166,72.5,"the(584), and(537), api(342), estate(255), for(249), real(221), property(215), data(194), can(163), that(162)"
Reference,275,470.37,89,1391,455.0,72.79,18,217,71.0,"the(1070), and(872), api(431), for(312), data(245), can(167), information(165), with(164), service(163), are(153)"
Science,297,485.3,183,1482,440.0,71.73,33,225,66.0,"the(1085), and(890), for(334), api(326), data(325), provides(156), can(156), information(156), with(153), service(141)"
Search,275,462.69,34,1566,433.0,71.4,6,241,69.0,"the(923), and(854), api(498), search(447), for(299), with(178), can(172), service(171), that(171), data(166)"
Security,213,297.28,98,1123,207.0,39.54,16,177,22.0,"and(424), api(282), the(249), security(240), with(181), provides(148), implements(107), offers(98), for(98), that(66)"
Shipping,225,250.12,168,842,205.0,30.62,19,109,22.0,"and(418), shipping(316), with(215), api(202), provides(195), delivery(152), handles(147), offers(130), the(129), manages(101)"
Social,300,191.7,159,223,191.0,21.5,20,26,21.0,"and(595), social(318), with(302), api(300), networking(290), communities(286), engagement(149), features(137), participation(133), involvement(131)"
Sports,275,449.62,89,1060,443.0,69.64,12,193,69.0,"and(1005), the(857), api(509), data(318), for(294), sports(236), provides(197), sportradar(181), applications(178), with(177)"
Stocks,225,582.63,217,926,581.0,96.95,40,153,100.0,"the(1222), and(795), prices(717), data(706), exchange(616), api(455), for(428), stock(410), intrinio(382), available(364)"
Storage,200,461.69,126,901,466.0,74.94,22,131,77.0,"and(597), the(557), api(357), storage(298), users(244), data(238), cloud(233), service(218), access(218), files(204)"
Telephony,297,432.72,84,1154,410.0,65.77,14,169,62.0,"and(876), the(876), api(454), with(224), for(215), phone(181), can(176), applications(165), calls(162), allows(162)"
Tools,300,418.7,109,1350,402.0,64.9,17,207,61.0,"and(915), the(836), api(499), for(276), with(228), can(212), that(206), users(201), allows(191), service(176)"
Transportation,275,442.43,165,1747,425.0,67.92,28,280,66.0,"and(906), the(881), api(460), for(354), data(292), information(238), provides(213), that(191), service(179), developers(176)"
Travel,275,472.14,30,1570,454.0,72.6,5,245,71.0,"and(928), the(845), api(499), for(333), travel(332), information(215), can(197), with(187), that(186), their(170)"
Video,275,422.67,124,1463,420.0,65.74,18,231,63.0,"and(915), the(829), video(539), api(511), videos(234), with(232), for(230), allows(190), users(188), can(188)"
Weather,197,197.22,167,248,197.0,21.38,18,28,21.0,"weather(337), and(310), api(188), with(153), meteorological(137), monitoring(131), atmospheric(116), intelligence(116), services(103), provides(93)"
eCommerce,300,435.79,68,1284,401.5,65.95,10,204,61.0,"and(985), the(903), api(538), for(317), with(236), allows(171), developers(170), can(165), that(150), users(147)"
