Category,Sample_Count,Word_Count_Min,Word_Count_Max,Word_Count_Avg,Char_Length_Min,Char_Length_Max,Char_Length_Avg,Top_10_Words
Government,302,16,222,84.38741721854305,83,1118,490.50993377483445,"data(497), api(487), information(253), government(173), access(165), provides(159), service(141), available(119), open(119), json(106)"
Transportation,217,32,319,73.96774193548387,165,1747,430.9815668202765,"api(367), data(197), information(162), provides(139), service(118), applications(109), developers(91), access(91), allows(80), transit(79)"
Office,81,27,180,72.55555555555556,138,1112,418.037037037037,"api(135), data(54), allows(54), users(50), applications(44), service(42), developers(40), documents(31), online(27), integrate(26)"
Chat,82,14,175,69.98780487804878,95,1044,408.4390243902439,"api(138), chat(115), users(49), service(35), applications(34), liveperson(34), allows(33), developers(32), messaging(29), live(29)"
News Services,82,17,133,67.35365853658537,86,750,378.2682926829268,"api(148), news(119), data(50), provides(49), content(49), access(45), developers(38), allows(35), users(35), articles(31)"
Email,252,20,209,75.86111111111111,136,1129,445.74603174603175,"email(545), api(459), users(148), allows(138), service(136), emails(128), marketing(125), developers(109), provides(99), applications(90)"
Education,213,34,225,78.95774647887323,197,1278,465.76525821596243,"api(362), information(139), data(133), access(111), provides(102), users(88), allows(87), online(85), developers(85), learning(83)"
Project Management,140,22,138,73.1,120,785,430.1142857142857,"api(231), management(149), project(137), users(95), allows(90), projects(82), access(72), service(70), applications(68), data(65)"
Security,248,19,192,77.58064516129032,98,1123,458.1733870967742,"api(414), service(165), users(161), allows(133), developers(132), security(123), access(123), applications(115), data(110), web(106)"
Entertainment,94,14,138,71.96808510638297,70,688,404.5,"api(169), users(61), allows(53), information(48), access(46), service(45), developers(41), provides(36), data(34), video(32)"
Real Estate,108,14,193,73.12037037037037,77,1053,418.712962962963,"api(171), estate(101), real(100), property(99), data(88), listings(47), users(47), provides(46), allows(44), search(42)"
Financial,682,16,252,77.42375366568915,92,1459,451.94281524926686,"api(1183), data(583), users(418), allows(388), provides(366), service(344), access(281), information(269), account(230), financial(228)"
Medical,110,8,140,81.34545454545454,34,838,494.2818181818182,"api(155), data(107), health(101), information(94), service(65), users(58), access(54), medical(53), provides(52), allows(47)"
Games,200,28,158,71.12,153,886,394.17,"api(353), game(220), games(135), developers(111), users(107), allows(99), data(93), information(86), provides(71), access(69)"
Sports,228,14,214,77.75877192982456,89,1060,440.06140350877195,"api(429), data(255), sports(169), provides(135), sportradar(127), developers(114), applications(113), live(107), league(106), information(98)"
Stocks,133,45,167,100.69924812030075,217,926,555.6992481203008,"data(427), prices(410), exchange(356), api(239), stock(219), intrinio(188), available(179), day(151), close(137), trading(122)"
Banking,110,24,283,82.22727272727273,133,1715,480.3727272727273,"api(258), banking(85), account(72), access(63), financial(62), bank(61), services(61), allows(57), developers(45), provides(45)"
Science,297,35,257,81.13131313131314,183,1482,485.2996632996633,"data(326), api(326), provides(156), information(156), service(142), access(129), database(125), methods(121), available(114), users(105)"
Images,82,23,186,71.79268292682927,124,1016,416.4756097560976,"api(163), image(90), images(75), developers(49), allows(46), users(35), applications(31), integrate(28), data(27), access(23)"
Bitcoin,141,34,168,74.15602836879432,207,879,431.78723404255317,"api(344), bitcoin(184), developers(103), allows(86), access(75), data(71), exchange(69), information(69), users(69), payment(58)"
File Sharing,80,17,365,69.7875,75,2202,401.9375,"api(136), file(102), files(97), users(69), allows(69), access(60), sharing(54), developers(49), applications(37), provides(36)"
Backend,133,12,143,70.34586466165413,79,790,416.1203007518797,"api(225), applications(182), developers(120), data(79), users(77), allows(76), service(71), mobile(67), access(63), platform(59)"
Domains,82,21,148,68.5609756097561,131,862,398.5365853658537,"domain(200), api(152), name(65), services(65), service(54), users(53), domains(48), provides(44), developers(44), dns(43)"
Data,140,23,267,72.75714285714285,141,1529,425.34285714285716,"api(285), data(257), allows(79), developers(78), information(53), access(48), provides(44), applications(44), platform(37), json(32)"
Internet of Things,112,36,183,71.24107142857143,230,1069,420.2767857142857,"api(193), devices(98), data(81), developers(66), things(58), internet(55), platform(55), iot(53), applications(48), allows(46)"
Application Development,123,21,233,70.2439024390244,105,1374,415.6422764227642,"api(215), applications(96), developers(93), allows(76), application(57), users(49), access(45), platform(45), create(41), development(41)"
